State,Month,Year,"No. of Wells
Madhya Pradesh,November,2011,868,10.60,44.59,32.49,9.68,2.42,0.23
Maharashtra,November,2011,1036,16.51,48.46,28.47,5.98,0.58,0.00
Manipur,November,2011,1,0.00,100.00,0.00,0.00,0.00,0.00
Meghalaya,November,2011,27,33.33,66.67,0.00,0.00,0.00,0.00
Odisha,November,2011,889,29.58,56.24,13.72,0.45,0.00,0.00
Pondicherry,November,2011,7,71.43,28.57,0.00,0.00,0.00,0.00
Punjab,November,2011,189,5.82,20.11,20.11,34.39,19.58,0.00
Rajasthan,November,2011,850,9.76,17.06,19.06,18.12,17.76,18.24
Tamil Nadu,November,2011,888,30.29,31.76,22.41,10.92,4.28,0.34
Tripura,November,2011,22,13.64,77.27,9.09,0.00,0.00,0.00
Uttar Pradesh,November,2011,802,16.33,44.89,22.07,14.21,2.49,0.00
Uttaranchal,November,2011,47,21.28,38.30,23.40,17.02,0.00,0.00
West Bengal,November,2011,786,18.58,53.31,17.30,9.92,0.89,0.00
Andhra Pradesh,January,2012,701,17.97,36.66,31.81,12.70,0.71,0.14
Arunachal Pradesh,January,2012,8,12.50,62.50,12.50,12.50,0.00,0.00
Assam,January,2012,206,17.48,64.08,17.48,0.97,0.00,0.00
Bihar,January,2012,263,11.79,63.50,24.33,0.38,0.00,0.00
Chandigarh,January,2012,16,0.00,12.50,12.50,43.75,18.75,12.50
Chhattisgarh,January,2012,349,14.90,49.00,30.37,5.44,0.29,0.00
Dadar-Nagar-Haveli,January,2012,6,0.00,50.00,33.33,16.67,0.00,0.00
Delhi,January,2012,132,10.61,24.24,22.73,23.48,10.61,8.33
Goa,January,2012,35,11.43,54.29,25.71,8.57,0.00,0.00
Gujarat,January,2012,756,8.86,29.37,35.45,17.46,8.33,0.53
Haryana,January,2012,170,10.00,11.76,18.82,31.76,25.29,2.35
Himachal Pradesh,January,2012,74,16.22,32.43,31.08,16.22,4.05,0.00
Jammu & Kashmir,January,2012,132,18.18,50.00,18.94,7.58,5.30,0.00
Jharkhand,January,2012,181,3.31,46.41,48.62,1.66,0.00,0.00
Karnataka,January,2012,889,10.01,32.06,38.92,18.79,0.22,0.00
Kerala,January,2012,679,13.84,31.22,40.35,12.81,1.77,0.00
Madhya Pradesh,January,2012,935,3.53,31.76,44.17,17.86,2.57,0.11
Maharashtra,January,2012,1070,6.82,38.32,43.27,9.91,1.50,0.19
Manipur,January,2012,2,0.00,50.00,50.00,0.00,0.00,0.00
Meghalaya,January,2012,29,20.69,65.52,13.79,0.00,0.00,0.00
Odisha,January,2012,865,13.29,53.99,31.68,1.04,0.00,0.00
Pondicherry,January,2012,9,33.33,11.11,0.00,44.44,11.11,0.00
Punjab,January,2012,184,7.61,19.02,20.11,35.87,16.85,0.54
Rajasthan,January,2012,900,5.78,13.56,22.22,20.89,19.11,18.44
Tamil Nadu,January,2012,952,32.04,32.67,20.80,9.77,4.62,0.11
Tripura,January,2012,30,20.00,53.33,26.67,0.00,0.00,0.00
Uttar Pradesh,January,2012,796,11.06,46.86,25.63,13.69,2.76,0.00
Uttaranchal,January,2012,40,5.00,45.00,30.00,17.50,2.50,0.00
West Bengal,January,2012,781,7.43,50.70,28.55,12.16,1.15,0.00
Andhra Pradesh,May,2012,736,5.03,25.27,40.35,24.86,4.48,0.00
Arunachal Pradesh,May,2012,8,12.50,62.50,12.50,12.50,0.00,0.00
Assam,May,2012,210,12.38,59.05,25.24,3.33,0.00,0.00
Bihar,May,2012,279,0.36,45.88,50.90,2.87,0.00,0.00
Chandigarh,May,2012,13,0.00,23.08,30.77,23.08,7.69,15.38
Chhattisgarh,May,2012,360,1.67,21.67,61.39,14.72,0.56,0.00
Dadar-Nagar-Haveli,May,2012,5,0.00,40.00,40.00,20.00,0.00,0.00
Delhi,May,2012,128,0.00,28.13,25.78,25.00,10.94,10.16
Goa,May,2012,43,6.98,46.51,27.91,18.60,0.00,0.00
Gujarat,May,2012,787,3.56,18.42,35.07,29.48,11.94,1.52
Haryana,May,2012,195,4.62,19.49,17.95,31.79,22.05,4.10
Himachal Pradesh,May,2012,75,6.67,29.33,36.00,24.00,4.00,0.00
Jammu & Kashmir,May,2012,141,4.96,54.61,25.53,8.51,6.38,0.00
Jharkhand,May,2012,184,0.54,9.78,69.57,20.11,0.00,0.00
Karnataka,May,2012,891,6.29,20.99,42.76,29.74,0.22,0.00
Kerala,May,2012,640,8.44,30.47,41.25,18.13,1.56,0.16
Madhya Pradesh,May,2012,932,0.54,11.48,42.81,39.81,5.26,0.11
Maharashtra,May,2012,928,3.02,14.87,55.50,24.35,2.16,0.11
Manipur,May,2012,1,0.00,0.00,100.00,0.00,0.00,0.00
Meghalaya,May,2012,28,7.14,85.71,7.14,0.00,0.00,0.00
Odisha,May,2012,743,7.27,32.97,55.45,4.31,0.00,0.00
Pondicherry,May,2012,4,25.00,75.00,0.00,0.00,0.00,0.00
Punjab,May,2012,174,4.60,16.67,27.59,29.89,21.26,0.00
Rajasthan,May,2012,856,1.87,8.53,23.48,26.75,21.50,17.87
Tamil Nadu,May,2012,914,4.81,31.84,36.87,18.38,7.33,0.77
Tripura,May,2012,27,11.11,59.26,29.63,0.00,0.00,0.00
Uttar Pradesh,May,2012,867,0.81,31.72,42.68,20.88,3.92,0.00
Uttaranchal,May,2012,40,2.50,30.00,30.00,27.50,10.00,0.00
West Bengal,May,2012,721,3.47,31.35,42.86,19.97,2.36,0.00
Andhra Pradesh,August,2012,750,26.00,30.53,28.00,13.33,2.00,0.13
Arunachal Pradesh,August,2012,8,50.00,50.00,,,,
Assam,August,2012,121,59.50,32.23,7.44,0.83,0.00,0.00
Bihar,August,2012,246,28.05,56.10,13.82,2.03,0.00,0.00
Chandigarh,August,2012,35,51.43,34.29,11.43,2.86,0.00,0.00
Chhattisgarh,August,2012,344,65.99,23.84,8.43,1.74,0.00,0.00
Dadar-Nagar-Haveli,August,2012,5,40.00,20.00,40.00,0.00,0.00,0.00
Delhi,August,2012,124,7.26,23.39,22.58,25.00,10.48,11.29
Goa,August,2012,35,51.43,34.29,11.43,2.86,0.00,0.00
Gujarat,August,2012,705,11.49,20.71,33.19,22.98,10.07,1.56
Haryana,August,2012,135,8.15,13.33,31.11,35.56,10.37,1.48
Himachal Pradesh,August,2012,74,31.08,36.49,18.92,10.81,2.70,0.00
Jammu & Kashmir,August,2012,140,49.29,30.71,8.57,5.71,5.71,0.00
Jharkhand,August,2012,153,24.18,37.25,37.25,1.31,0.00,0.00
Karnataka,August,2012,882,13.15,29.71,33.56,23.36,0.23,0.00
Kerala,August,2012,679,28.57,31.96,30.04,8.39,0.88,0.15
Madhya Pradesh,August,2012,917,38.60,34.68,15.70,7.85,2.94,0.22
Maharashtra,August,2012,1034,27.08,32.21,27.95,11.22,1.45,0.10
Meghalaya,August,2012,22,54.55,40.91,4.55,0.00,0.00,0.00
Odisha,August,2012,779,56.87,34.27,8.60,0.26,0.00,0.00
Pondicherry,August,2012,7,0.00,85.71,14.29,0.00,0.00,0.00
Punjab,August,2012,181,4.97,17.68,22.65,32.60,21.55,0.55
Rajasthan,August,2012,911,13.94,14.60,16.68,18.11,18.11,18.55
Tamil Nadu,August,2012,620,3.87,25.65,43.06,21.77,5.00,0.65
Tripura,August,2012,9,33.33,66.67,0.00,0.00,0.00,0.00
Uttar Pradesh,August,2012,857,33.61,27.19,21.47,14.94,2.80,0.00
Uttaranchal,August,2012,35,25.71,37.14,22.86,8.57,2.86,2.86
West Bengal,August,2012,581,33.22,34.60,19.28,11.53,1.38,0.00
Andhra Pradesh,November,2012,760,37.37,28.29,23.29,10.26,0.79,0.00
Arunachal Pradesh,November,2012,11,9.09,72.73,18.18,0.00,0.00,0.00
Assam,November,2012,204,48.04,42.65,7.84,1.47,0.00,0.00
Bihar,November,2012,223,17.04,61.43,20.18,1.35,0.00,0.00
Chandigarh,November,2012,19,0.00,21.05,26.32,26.32,21.05,5.26
Chhattisgarh,November,2012,438,24.20,55.25,15.98,3.88,0.68,0.00
Dadar-Nagar-Haveli,November,2012,6,16.67,66.67,16.67,0.00,0.00,0.00
Delhi,November,2012,127,5.51,23.62,26.77,25.20,7.87,11.02
Goa,November,2012,40,22.50,45.00,25.00,7.50,0.00,0.00
Gujarat,November,2012,760,7.76,27.24,31.45,22.37,10.13,1.05
Haryana,November,2012,404,9.41,19.55,19.31,30.94,17.82,2.97
Himachal Pradesh,November,2012,73,17.81,39.73,24.66,12.33,5.48,0.00
Jammu & Kashmir,November,2012,139,34.53,39.57,14.39,5.76,5.76,0.00
Jharkhand,November,2012,122,5.74,55.74,36.89,1.64,0.00,0.00
Karnataka,November,2012,872,14.79,31.08,33.37,20.64,0.11,0.00
Kerala,November,2012,663,18.10,31.83,37.86,11.01,1.21,0.00
Madhya Pradesh,November,2012,965,8.50,43.21,34.82,11.09,2.18,0.21
Maharashtra,November,2012,1107,15.00,41.46,31.62,10.66,1.17,0.09
Manipur,November,2012,1,0.00,0.00,100.00,0.00,0.00,0.00
Meghalaya,November,2012,27,40.74,55.56,3.70,0.00,0.00,0.00
Odisha,November,2012,829,37.27,49.22,12.91,0.60,0.00,0.00
Pondicherry,November,2012,4,25.00,75.00,0.00,0.00,0.00,0.00
Punjab,November,2012,247,3.24,17.00,20.24,34.01,25.10,0.40
Rajasthan,November,2012,826,8.84,19.13,20.10,17.55,17.07,17.31
Tamil Nadu,November,2012,587,22.49,28.11,32.03,16.01,1.02,0.34
Tripura,November,2012,27,11.11,59.26,29.63,0.00,0.00,0.00
Uttar Pradesh,November,2012,850,15.65,41.41,26.12,14.24,2.59,0.00
Uttaranchal,November,2012,23,26.09,30.43,39.13,4.35,0.00,0.00
West Bengal,November,2012,591,14.72,51.27,21.32,11.34,1.35,0.00
Andhra Pradesh,January ,2013,918,18.85,37.58,28.98,12.64,1.74,0.22
Arunachal Pradesh,January ,2013,11,9.09,72.73,18.18,0.00,0.00,0.00
Assam,January,2013,206,22.82,65.05,9.71,2.43,0.00,0.00
Bihar,January,2013,197,3.05,52.28,40.61,4.06,0.00,0.00
Chandigarh,January,2013,13,0.00,23.08,23.08,23.08,23.08,7.69
Chhattisgarh,January,2013,504,4.17,40.28,45.63,8.93,0.79,0.20
Dadar-Nagar-Haveli,January,2013,6,16.67,33.33,50.00,0.00,0.00,0.00
Delhi,January,2013,125,5.60,22.40,26.40,26.40,8.00,11.20
Goa,January,2013,42,11.90,47.62,26.19,14.29,0.00,0.00
Gujarat,January,2013,769,4.81,23.28,33.42,25.75,11.31,1.43
Haryana,January,2013,84,5.95,15.48,30.95,30.95,15.48,1.19
Himachal Pradesh,January,2013,71,14.08,35.21,30.99,16.90,2.82,0.00
Jammu & Kashmir,January,2013,143,26.57,41.26,19.58,6.29,6.29,0.00
Jharkhand,January,2013,132,2.27,33.33,57.58,6.82,0.00,0.00
Karnataka,January,2013,1240,9.84,24.68,41.05,24.19,0.24,0.00
Kerala,January,2013,648,12.50,30.86,41.67,13.89,1.08,0.00
Madhya Pradesh,January,2013,950,2.84,26.00,47.37,20.32,3.37,0.11
Maharashtra,January,2013,1083,6.19,31.58,46.17,14.68,1.20,0.18
Meghalaya,January,2013,29,20.69,72.41,6.90,0.00,0.00,0.00
Odisha,January,2013,886,14.33,54.63,29.46,1.58,0.00,0.00
Pondicherry,January,2013,4,25.00,75.00,0.00,0.00,0.00,0.00
Punjab,January,2013,217,5.53,16.13,21.66,34.10,22.12,0.46
Rajasthan,January,2013,883,5.66,16.08,20.95,22.08,17.33,17.89
Tamil Nadu,January,2013,612,12.58,30.56,35.29,16.99,3.92,0.65
Tripura,January,2013,24,16.67,62.50,20.83,0.00,0.00,0.00
Uttar Pradesh,January,2013,879,8.65,41.98,30.03,16.27,3.07,0.00
Uttaranchal,January,2013,45,6.67,42.22,24.44,22.22,2.22,2.22
West Bengal,January,2013,374,4.81,47.59,33.42,12.03,2.14,0.00
Andhra Pradesh,May,2013,1084,5.44,32.47,39.39,19.19,3.23,0.28
Arunachal Pradesh,May,2013,11,9.09,54.55,36.36,0.00,0.00,0.00
Assam,May,2013,203,16.26,61.58,20.20,1.97,0.00,0.00
Bihar,May,2013,185,3.78,54.59,40.54,1.08,0.00,0.00
Chandigarh,May,2013,16,0.00,12.50,31.25,31.25,25.00,0.00
Chhattisgarh,May,2013,666,2.25,20.27,57.66,17.42,2.40,0.00
Dadar-Nagar-Haveli,May,2013,5,40.00,20.00,20.00,20.00,0.00,0.00
Delhi,May,2013,124,0.81,24.19,25.81,25.00,12.90,11.29
Goa,May,2013,43,6.98,41.86,37.21,13.95,0.00,0.00
Gujarat,May,2013,732,3.42,14.75,34.84,33.88,11.75,1.37
Haryana,May,2013,317,3.79,18.61,27.76,29.97,17.98,1.89
Himachal Pradesh,May,2013,68,7.35,35.29,29.41,25.00,2.94,0.00
Jammu & Kashmir,May,2013,141,16.31,48.94,19.15,7.80,7.80,0.00
Jharkhand,May,2013,177,1.13,12.99,66.67,19.21,0.00,0.00
Karnataka,May,2013,1168,5.31,16.52,43.75,32.79,1.63,0.00
Kerala,May,2013,849,7.42,29.80,44.52,17.43,0.71,0.12
Madhya Pradesh,May,2013,1081,0.93,12.95,44.50,36.26,5.09,0.28
Maharashtra,May,2013,1004,4.48,16.43,49.80,26.20,2.99,0.10
Meghalaya,May,2013,26,11.54,80.77,7.69,0.00,0.00,0.00
Manipur,May,2013,1,0.00,100.00,0.00,0.00,0.00,0.00
Nagaland,May,2013,12,0.00,41.67,41.67,8.33,8.33,0.00
Odisha,May,2013,1035,6.28,40.29,48.70,4.73,0.00,0.00
Puducherry,May,2013,7,14.29,71.43,14.29,0.00,0.00,0.00
Punjab,May,2013,227,4.41,14.10,24.67,33.48,22.91,0.44
Rajasthan,May,2013,869,1.61,9.44,21.63,28.42,19.91,18.99
Tamil Nadu,May,2013,464,3.88,25.65,41.16,26.72,2.59,0.00
Tripura,May,2013,30,10.00,50.00,40.00,0.00,0.00,0.00
Uttar Pradesh,May,2013,779,1.93,34.27,42.49,17.84,3.47,0.00
Uttaranchal,May,2013,48,0.00,39.58,22.92,29.17,6.25,2.08
West Bengal,May,2013,1120,2.59,26.34,41.16,25.54,4.38,0.00
Andhra Pradesh,August,2013,480,31.67,30.63,21.88,12.08,3.54,0.21
Arunachal Pradesh,August,2013,11,54.55,45.45,0.00,0.00,0.00,0.00
Assam,August,2013,179,61.45,29.61,7.82,1.12,0.00,0.00
Bihar,August,2013,350,28.86,54.86,15.14,1.14,0.00,0.00
Chandigarh,August,2013,16,6.25,18.75,18.75,37.50,18.75,0.00
Chhattisgarh,August,2013,748,54.14,31.42,9.49,4.55,0.40,0.00
Dadar-Nagar-Haveli,August,2013,6,50.00,16.67,33.33,0.00,0.00,0.00
Delhi,August,2013,124,18.55,13.71,21.77,22.58,12.10,11.29
Goa,August,2013,41,48.78,36.59,9.76,4.88,0.00,0.00
Gujarat,August,2013,684,26.46,32.46,22.66,13.16,4.82,0.44
Haryana,August,2013,125,12.80,12.80,29.60,30.40,12.80,1.60
Himachal Pradesh,August,2013,95,38.95,36.84,9.47,10.53,4.21,0.00
Jammu & Kashmir,August,2013,194,63.92,21.13,6.70,4.64,3.61,0.00
Jharkhand,August,2013,158,22.15,40.51,32.91,4.43,0.00,0.00
Karnataka,August,2013,1219,22.40,32.40,29.94,14.19,1.07,0.00
Kerala,August,2013,937,25.61,32.34,34.69,6.40,0.64,0.21
Madhya Pradesh,August,2013,1121,56.74,28.19,10.53,3.75,0.71,0.09
Maharashtra,August,2013,1294,42.43,31.53,17.77,6.96,1.24,0.08
Meghalaya,August,2013,18,61.11,38.89,0.00,0.00,0.00,0.00
Odisha,August,2013,1185,52.32,40.17,7.43,0.08,0.00,0.00
Puducherry,August,2013,4,25.00,75.00,0.00,0.00,0.00,0.00
Punjab,August,2013,222,10.36,13.96,21.17,31.08,22.52,0.90
Rajasthan,August,2013,929,17.76,12.70,15.29,17.44,17.22,19.59
Tamil Nadu,August,2013,589,7.13,24.62,36.33,26.32,4.75,0.85
Tripura,August,2013,28,50.00,42.86,7.14,0.00,0.00,0.00
Uttar Pradesh,August,2013,855,36.73,27.84,20.23,12.87,2.34,0.00
Uttaranchal,August,2013,47,23.40,31.91,27.66,12.77,2.13,2.13
West Bengal,August,2013,1014,28.30,38.76,19.13,12.23,1.58,0.00
Andhra Pradesh,November,2013,1142,49.74,29.33,16.20,4.12,0.61,0.00
Arunachal Pradesh,November,2013,7,14.29,57.14,28.57,0.00,0.00,0.00
Assam,November,2013,188,39.89,50.00,9.04,1.06,0.00,0.00
Bihar,November,2013,372,23.39,63.17,12.90,0.54,0.00,0.00
Chandigarh,November,2013,16,0.00,25.00,12.50,37.50,25.00,0.00
Chhattisgarh,November,2013,775,15.48,54.06,23.23,6.32,0.77,0.13
Dadar-Nagar-Haveli,November,2013,6,33.33,50.00,16.67,0.00,0.00,0.00
Delhi,November,2013,119,10.92,19.33,26.89,23.53,8.40,10.92
Goa,November,2013,71,22.54,40.85,29.58,7.04,0.00,0.00
Gujarat,November,2013,772,20.73,35.88,27.20,11.14,4.66,0.39
Haryana,November,2013,405,11.85,18.77,19.26,26.17,20.49,3.46
Himachal Pradesh,November,2013,98,20.41,39.80,22.45,13.27,4.08,0.00
Jammu & Kashmir,November,2013,234,34.19,44.44,12.39,5.98,2.99,0.00
Jharkhand,November,2013,172,27.91,55.23,15.12,1.74,0.00,0.00
Karnataka,November,2013,1215,24.20,32.59,31.19,11.60,0.41,0.00
Kerala,November,2013,1061,23.09,31.39,35.16,9.05,0.57,0.09
Madhya Pradesh,November,2013,1203,16.04,47.80,27.35,6.65,2.00,0.17
Maharashtra,November,2013,1372,22.45,45.99,23.83,6.56,1.09,0.07
Meghalaya,November,2013,7,71.43,28.57,0.00,0.00,0.00,0.00
Odisha,November,2013,1213,48.23,46.33,5.28,0.16,0.00,0.00
Puducherry,November,2013,4,25.00,75.00,0.00,0.00,0.00,0.00
Punjab,November,2013,255,7.06,17.25,20.78,31.37,23.53,0.00
Rajasthan,November,2013,907,11.58,17.75,16.87,18.30,15.66,19.85
Tamil Nadu,November,2013,550,12.91,26.18,32.55,20.55,6.00,1.82
Tripura,November,2013,29,27.59,62.07,10.34,0.00,0.00,0.00
Uttar Pradesh,November,2013,866,20.90,38.91,23.67,14.20,2.31,0.00
Uttarakhand,November,2013,38,23.68,39.47,15.79,18.42,2.63,0.00
West Bengal,November,2013,1030,27.57,41.36,21.84,8.64,0.58,0.00
Andhra Pradesh,January,2014,1311,27.08,42.11,23.34,6.94,0.53,0.00
Arunachal Pradesh,January,2014,12,8.33,50.00,33.33,8.33,0.00,0.00
Assam,January,2014,196,18.37,66.33,14.80,0.51,0.00,0.00
Bihar,January,2014,380,12.37,65.00,21.58,1.05,0.00,0.00
Chandigarh,January,2014,16,0.00,25.00,12.50,31.25,31.25,0.00
Chhattisgarh,January,2014,816,4.66,47.18,38.60,7.72,1.72,0.12
Dadar-Nagar-Haveli,January,2014,6,16.67,33.33,50.00,0.00,0.00,0.00
Delhi,January,2014,120,8.33,20.00,26.67,24.17,10.00,10.83
Goa,January,2014,46,10.87,47.83,30.43,10.87,0.00,0.00
Gujarat,January,2014,684,9.94,32.75,28.80,20.61,7.02,0.88
Haryana,January,2014,101,5.94,21.78,21.78,30.69,15.84,3.96
Himachal Pradesh,January,2014,90,16.67,40.00,18.89,17.78,6.67,0.00
Jammu & Kashmir,January,2014,206,26.70,47.57,15.05,6.31,4.37,0.00
Jharkhand,January,2014,231,6.06,48.48,41.13,4.33,0.00,0.00
Karnataka,January,2014,1191,12.34,34.42,36.78,16.04,0.42,0.00
Kerala,January,2014,1180,11.27,32.37,42.88,12.80,1.10,0.08
Madhya Pradesh,January,2014,1315,6.77,39.09,38.56,14.30,1.14,0.15
Maharashtra,January,2014,1478,9.95,41.61,35.66,11.03,1.62,0.14
Meghalaya,January,2014,11,36.36,63.64,0.00,0.00,0.00,0.00
Nagaland,January,2014,15,6.67,60.00,13.33,13.33,6.67,0.00
Odisha,January,2014,1199,20.43,64.47,14.76,0.33,0.00,0.00
Puducherry,January,2014,4,25.00,75.00,0.00,0.00,0.00,0.00
Punjab,January,2014,251,7.97,15.94,20.72,33.86,21.51,0.00
Rajasthan,January,2014,943,6.57,17.29,20.57,18.35,17.29,19.94
Tamil Nadu,January,2014,628,12.26,29.78,32.96,20.06,4.62,0.32
Tripura,January,2014,29,17.24,62.07,20.69,0.00,0.00,0.00
Uttar Pradesh,January,2014,897,18.84,40.58,24.53,13.49,2.56,0.00
Uttaranchal,January,2014,23,4.35,13.04,47.83,30.43,4.35,0.00
West Bengal,January,2014,1012,8.70,48.12,27.77,13.74,1.68,0.00
Andaman and Nicobar Islands,May,2014,108,24,71,4,1,0,0.00
Andhra Pradesh,May,2014,740,16.35,45.00,30.81,7.16,0.68,0.00
Arunachal Pradesh,May,2014,13,7.69,61.54,15.38,15.38,0.00,0.00
Assam,May,2014,164,14.63,62.20,21.34,1.83,0.00,0.00
Bihar,May,2014,367,3.81,51.23,41.42,3.54,0.00,0.00
Chandigarh,May,2014,16,0.00,25.00,18.75,25.00,25.00,6.25
Chhattisgarh,May,2014,557,4.13,22.44,52.06,18.67,2.15,0.54
Dadar-Nagar-Haveli,May,2014,10,0.00,30.00,60.00,10.00,0.00,0.00
Daman & Diu,May,2014,12,0.00,33.33,58.33,8.33,0.00,0.00
Delhi,May,2014,116,3.45,24.14,27.59,22.41,12.07,10.34
Goa,May,2014,77,9.09,36.36,38.96,15.58,0.00,0.00
Gujarat,May,2014,779,2.70,21.31,34.79,28.88,10.78,1.54
Haryana,May,2014,351,6.55,21.94,21.08,29.06,18.23,3.13
Himachal Pradesh,May,2014,105,10.48,40.00,24.76,22.86,1.90,0.00
Karnataka,May,2014,1384,8.67,25.43,39.38,25.36,1.16,0.00
Kerala,May,2014,1105,9.32,29.23,42.99,17.01,1.36,0.09
Madhya Pradesh,May,2014,1322,1.06,20.42,49.39,25.57,3.40,0.15
Maharashtra,May,2014,1339,3.73,26.81,49.44,17.85,2.02,0.15
Meghalaya,May,2014,20,10.00,65.00,25.00,0.00,0.00,0.00
Nagaland,May,2014,7,0.00,28.57,57.14,14.29,0.00,0.00
Odisha,May,2014,1324,8.01,45.02,45.02,1.96,0.00,0.00
Pondicherry,May,2014,4,25.00,50.00,25.00,0.00,0.00,0.00
